id,channel_sales,tenure_years,months_to_end,months_since_modified,months_since_renewed,yearly_consumption,monthly_consumption,yearly_gas_consumption,yearly_forecast_consumption,yearly_forecast_meter_rent,paid_consumption,net_margin_electricity,net_margin_power,net_margin,avg_price_off_peak_var,avg_price_peak_var,avg_price_mid_peak_var,price_peak_off_peak_ratio_var,std_price_off_peak_var,std_price_peak_var,std_price_mid_peak_var,range_price_peak_var,range_price_off_peak_var,range_price_mid_peak_var,churn
987e2767a9812e900db0041930d126cb,0,3,5,2,6,7502,0,0,276,16.05,0,16.92,16.92,26.2,0.149,0,0,0,0.002,0,0,0,0.004,0,0
5d5431b8305bb08ab589db356d2b54ef,0,3,9,24,2,27382,340,0,4061,13.92,50.07,10,10,369.35,0.148,0,0,0,0.002,0,0,0,0.004,0,0
17e84c1bc19211777dfbb1cca8af94fc,0,3,9,26,2,463646,40551,0,2859,117.54,0,11.04,11.04,372.55,0.122,0.102,0.072,0.836,0.004,0.002,0.001,0.004,0.008,0.003,0
dd490452dadf88529466072605d7ee82,0,3,5,2,6,3315,0,0,496,19.84,0,16.92,16.92,43.35,0.15,0,0,0,0.002,0,0,0,0.004,0,0
a33668b7d0d8d86f38ad983c0cad6095,0,3,12,11,0,63969,63969,7488,9683,148.38,9682.89,60.6,60.6,942.85,0.175,0.114,0.069,0.655,0.014,0.056,0.049,0.152,0.044,0.104,0
616018ccf121480488737b3823361d1a,3,3,5,29,6,4043,357,14289,416,143.41,35.61,29.85,29.85,48.81,0.125,0.105,0.076,0.837,0.005,0.002,0.001,0.005,0.01,0.001,0
f683797090b0bb98a7b29b6e2d4f2f8f,0,3,5,2,6,4100379,443297,0,685,16.76,0,22.52,22.52,66.75,0.149,0.007,0,0.049,0.002,0.024,0,0.085,0.005,0,0
9dc24a7803c951a56697d7c2fc3cf815,0,3,5,7,6,29156,4341,0,3013,90.7,431.15,15.84,15.84,344.57,0.124,0.103,0.074,0.835,0.005,0.002,0.001,0.007,0.012,0.002,0
c5ac670d5517a5fa40679456cc964ea4,0,5,6,53,5,7248,0,0,1086,6.57,0,16.06,16.06,105.87,0.15,0,0,0,0.002,0,0,0,0.004,0,0
d612879cbe282482963053ebb1670db5,0,6,10,25,1,49187,4940,0,4900,117.53,477.01,2.79,2.79,505.42,0.122,0.102,0.072,0.837,0.005,0.002,0,0.005,0.01,0,0
c30e2e4d0abce6b4db1d0280778d04d4,0,4,12,1,0,6569,1114,0,983,16.78,163.2,26.04,26.04,94.42,0.15,0,0,0,0.002,0,0,0,0.005,0,0
fa052c337d37c1ea8f372ec3bdfc97bc,0,4,9,26,2,16623,458,0,2497,22.44,67.59,9.96,9.96,193.58,0.15,0,0,0,0.002,0,0,0,0.004,0,0
